Profiling main()
         32360166 function calls (32291039 primitive calls) in 63.379 seconds

   Ordered by: cumulative time
   List reduced from 5167 to 90 due to restriction <'agent.py|basis.py|model_dynamics.py|ergodic_controllers.py|barrier.py|replay_buffer.py|obstacles.py'>

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
   312354    0.286    0.000   34.246    0.000 c:\Users\alexi\Documents\Diplomatiki\my_erg_lib\agent.py:535(calcH)
     8442    0.662    0.000   33.931    0.004 c:\Users\alexi\Documents\Diplomatiki\my_erg_lib\agent.py:560(calcHessianH)
  4170348    6.122    0.000   31.815    0.000 c:\Users\alexi\Documents\Diplomatiki\my_erg_lib\obstacles.py:226(U)
  3112500   27.532    0.000   28.676    0.000 c:\Users\alexi\Documents\Diplomatiki\my_erg_lib\basis.py:54(dFk_dx)
  2963142    6.009    0.000   22.229    0.000 c:\Users\alexi\Documents\Diplomatiki\my_erg_lib\obstacles.py:47(_rhoFunc)
   252000    0.319    0.000   15.895    0.000 c:\Users\alexi\Documents\Diplomatiki\my_erg_lib\ergodic_controllers.py:62(uDef)
   289500    7.501    0.000   12.825    0.000 c:\Users\alexi\Documents\Diplomatiki\my_erg_lib\replay_buffer.py:93(readAction)
     1500    0.021    0.000    9.942    0.007 c:\Users\alexi\Documents\Diplomatiki\my_erg_lib\ergodic_controllers.py:187(calcApplicationTime)
     1501    0.385    0.000    9.894    0.007 c:\Users\alexi\Documents\Diplomatiki\my_erg_lib\model_dynamics.py:226(simulateForward)
     1500    0.179    0.000    9.886    0.007 c:\Users\alexi\Documents\Diplomatiki\my_erg_lib\ergodic_controllers.py:201(<listcomp>)
   126000    0.611    0.000    9.707    0.000 c:\Users\alexi\Documents\Diplomatiki\my_erg_lib\ergodic_controllers.py:190(Jt)
  3225075    2.007    0.000    5.942    0.000 c:\Users\alexi\Documents\Diplomatiki\my_erg_lib\basis.py:115(calcPhikCoeff)
  3761340    2.718    0.000    4.938    0.000 c:\Users\alexi\Documents\Diplomatiki\my_erg_lib\replay_buffer.py:64(getElement)
   375090    2.060    0.000    4.922    0.000 c:\Users\alexi\Documents\Diplomatiki\my_erg_lib\ergodic_controllers.py:259(__call__)
  1316952    3.914    0.000    4.196    0.000 c:\Users\alexi\Documents\Diplomatiki\my_erg_lib\obstacles.py:121(_rhoFunc)
        3    0.001    0.000    4.018    1.339 c:\Users\alexi\Documents\Diplomatiki\my_erg_lib\basis.py:78(precalcAllPhiK)
    38800    0.181    0.000    3.931    0.000 c:\Users\alexi\Documents\Diplomatiki\my_erg_lib\agent.py:75(phi_w_obs)
