Ergodic cost: 79.516     i: 1500/4000    perc: 37.50%    dt/Ts: 1.71     remaining: 21 s         elapsed: 12.4 s (34 s)
Ergodic cost: 79.500     i: 1520/4000    perc: 38.00%    dt/Ts: 1.71     remaining: 21 s         elapsed: 12.5 s (34 s)
Ergodic cost: 79.077     i: 1540/4000    perc: 38.50%    dt/Ts: 1.71     remaining: 21 s         elapsed: 12.7 s (34 s)
Ergodic cost: 78.759     i: 1560/4000    perc: 39.00%    dt/Ts: 1.72     remaining: 21 s         elapsed: 12.9 s (34 s)
Ergodic cost: 75.389     i: 1580/4000    perc: 39.50%    dt/Ts: 1.71     remaining: 21 s         elapsed: 13.1 s (34 s)
Ergodic cost: 72.264     i: 1600/4000    perc: 40.00%    dt/Ts: 1.71     remaining: 21 s         elapsed: 13.2 s (34 s)
Ergodic cost: 68.849     i: 1620/4000    perc: 40.50%    dt/Ts: 1.70     remaining: 20 s         elapsed: 13.4 s (34 s)
Ergodic cost: 66.023     i: 1640/4000    perc: 41.00%    dt/Ts: 1.69     remaining: 20 s         elapsed: 13.6 s (34 s)
Ergodic cost: 64.168     i: 1660/4000    perc: 41.50%    dt/Ts: 1.75     remaining: 20 s         elapsed: 13.8 s (34 s)
Ergodic cost: 63.444     i: 1680/4000    perc: 42.00%    dt/Ts: 1.70     remaining: 20 s         elapsed: 13.9 s (34 s)
Ergodic cost: 63.950     i: 1700/4000    perc: 42.50%    dt/Ts: 1.69     remaining: 19 s         elapsed: 14.1 s (34 s)
Ergodic cost: 65.718     i: 1720/4000    perc: 43.00%    dt/Ts: 1.67     remaining: 19 s         elapsed: 14.3 s (33 s)
Ergodic cost: 68.603     i: 1740/4000    perc: 43.50%    dt/Ts: 1.74     remaining: 20 s         elapsed: 14.4 s (34 s)
Ergodic cost: 71.893     i: 1760/4000    perc: 44.00%    dt/Ts: 1.66     remaining: 19 s         elapsed: 14.6 s (33 s)
Ergodic cost: 74.645     i: 1780/4000    perc: 44.50%    dt/Ts: 1.68     remaining: 19 s         elapsed: 14.8 s (33 s)
Ergodic cost: 76.222     i: 1800/4000    perc: 45.00%    dt/Ts: 1.73     remaining: 19 s         elapsed: 15.0 s (34 s)
Ergodic cost: 76.534     i: 1820/4000    perc: 45.50%    dt/Ts: 1.74     remaining: 19 s         elapsed: 15.1 s (34 s)
Ergodic cost: 75.964     i: 1840/4000    perc: 46.00%    dt/Ts: 1.67     remaining: 18 s         elapsed: 15.3 s (33 s)
Ergodic cost: 74.998     i: 1860/4000    perc: 46.50%    dt/Ts: 1.67     remaining: 18 s         elapsed: 15.5 s (33 s)
